study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	mean_sd	mean_se	comments	mean_unit
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	0.0	hr	0.0					mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	0.25	hr	4.2007884079220895e-05	41.3212380323739	4.791864047436757e-05	8.470898906166377e-06		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	0.5	hr	0.00021178299469059238	145.945995046417	0.00010583614578039173	1.8709364093990732e-05		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	1.0	hr	0.0003716857583329467	226.757219937868	0.00012180111857209947	2.1531599224609556e-05		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	2.0	hr	0.00047983480878969966	289.303167749632	0.00014976947358164353	2.647575259607987e-05		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	3.0	hr	0.0004941669104167269	283.022775580895	0.00012176948910643961	2.152600787219624e-05		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	4.0	hr	0.00048051484230138194	273.087147935301	0.00011379886376020828	2.0116987064041832e-05		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	5.0	hr	0.00041096560099902285	242.061247600419	0.0001158271032456333	2.0475532537545396e-05		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	6.0	hr	0.0003294287922116562	193.58214287877	9.18598756420346e-05	1.6238685246358892e-05		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	9.0	hr	0.0002186149592730773	127.976842908444	5.989830059295952e-05	1.0588623632707967e-05		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	12.0	hr	0.00014375592142310296	86.2359431488558	4.3917513068421976e-05	7.763592825882524e-06		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	24.0	hr	5.989830059295974e-05	34.8591741202547	1.596497279170779e-05	2.8222351306188245e-06		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	36.0	hr	1.8352522717789883e-05	13.3330344310357	1.066387430296246e-05	1.885124458336429e-06		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	48.0	hr	1.2380246218995801e-05	7.81211318872204	4.6210882504754515e-06	8.169007095931666e-07		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	60.0	hr	6.3009309124900115e-06	4.26663800131406	2.98446190865049e-06	5.275833134499282e-07		mole/meter^3
Song2016		crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	72.0	hr	5.0702324216083144e-06	3.43327781655993	2.4015364936472474e-06	4.245356849812318e-07		mole/meter^3
