study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Shaikh2021	API5_T	0	NA	hr	oral	single dose	dosing	tablet	apixaban	5	mg	test
Shaikh2021	API5_R	0	NA	hr	oral	single dose	dosing	tablet	apixaban	5	mg	reference
