study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	geomean	median	min	max	sd	geosd	se	cv	unit	comments
Shaikh2021	all	23.0	API5_T	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	171.0	NA	NA	NA	NA	31.6	NA	NA	NA	ng/ml	NA
Shaikh2021	all	23.0	API5_T	auc_end	apixaban	plasma	HPLC MS/MS	45.5	hr	1576.0	NA	NA	NA	NA	323.0	NA	NA	NA	ng*hr/ml	NA
Shaikh2021	all	23.0	API5_T	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	1591.0	NA	NA	NA	NA	325.0	NA	NA	NA	ng*hr/ml	NA
Shaikh2021	all	23.0	API5_T	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	2.72	NA	NA	NA	NA	1.23	NA	NA	NA	hr	NA
Shaikh2021	all	23.0	API5_T	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	5.3333	NA	NA	NA	NA	0.903	NA	NA	NA	hr	NA
Shaikh2021	all	23.0	API5_T	kel	apixaban	plasma	HPLC MS/MS	NA	NA	0.133	NA	NA	NA	NA	0.02	NA	NA	NA	1/hr	NA
Shaikh2021	all	23.0	API5_R	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	156.0	NA	NA	NA	NA	337.8	NA	NA	NA	ng/ml	NA
Shaikh2021	all	23.0	API5_R	auc_end	apixaban	plasma	HPLC MS/MS	45.5	hr	1493.0	NA	NA	NA	NA	407.0	NA	NA	NA	ng*hr/ml	NA
Shaikh2021	all	23.0	API5_R	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	1510.0	NA	NA	NA	NA	410.0	NA	NA	NA	ng*hr/ml	NA
Shaikh2021	all	23.0	API5_R	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	3.1	NA	NA	NA	NA	1.22	NA	NA	NA	hr	NA
Shaikh2021	all	23.0	API5_R	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	5.64	NA	NA	NA	NA	1.15	NA	NA	NA	hr	NA
Shaikh2021	all	23.0	API5_R	kel	apixaban	plasma	HPLC MS/MS	NA	NA	0.127	NA	NA	NA	NA	0.021	NA	NA	NA	1/hr	NA
